client_id,industry,sub_industry,region,company_size,annual_revenue_usd,contract_value_usd,contract_length_months,tenure_months,product_usage_hours_3m,product_usage_hours_12m,login_frequency_30d,active_users,licensed_users,analyst_calls_6m,support_tickets_6m,support_escalations_6m,avg_resolution_time_hrs,nps_score,survey_response_count_12m,discount_percent,account_notes,churn_flag
C51,Technology,,,500,4350.126383,79027.19263,12 months,12.09498487,92.00190776,530.9413615,28.10584124,5,100,4,2,1,53.92114323,46,3,,,0
C52,Retail,,LATAM,1000,803658.3895,124042.9514,24,7.807522719,163.9646248,660.2454337,4.660207976,5,50,1,4,1,74.80184184,,1,,low usage,0
C53,Finance,Payments,North America,200,23754.13934,194374.5354,12,,122.6372341,242.0061047,1.18244307,8,20,0,3,0,20.25987085,-41,0,,,0
C54,Heathcare,Cloud,,,,,24,78.02463308,153.796688,258.0494954,13.68910142,,10,0,4,1,44.31617041,-11,2,5,neutral,0
,Retail,,Middle East,,174313.9059,137399.86,36 mnth,4.736905699,,569.3847125,12.08108134,11,20,1,5,2,81.2317944,,3,10%,,0
C56,Finance,Infra,North America,10000,46174.50298,30169.25342,24,,225.7953303,638.8009716,17.58174594,4,50,0,4,0,47.67603231,50,0,0,low usage,0
C57,Manufacturing,N/A,Europe,,238115.0279,,36,,,582.7147651,9.324244479,5,10,,6,0,46.80146856,35,0,,low usage,0
C58,Manufacturing,AI, middle east,10000,21198.43008,46133.13161,12,89.11585893,147.4389267,-74.65899442,,4,,0,4,0,52.29063931,3,0,10,,0
C59,SaaS,Payments,N. America,5000,3370.144612,,12,100.4907203,137.1489027,517.5983589,0.820729079,5,,,2,0,50.55267068,-70,1,20%,renewal likely,0
C60,Retail,data,,,83657.5867,,24,6.622141709,37.45029725,487.5412003,1.603594975,3,5,0,1,,,89,1,20,satisfied,0
C61,Manufacturing,,North America,,51046.26766,126210.0822,12,13.48013038,161.2207387,297.9474748,21.77011042,5,50,0,2,,11.74720431,-1,2,,,0
,Finance,,N. America,50,5104.135986,179230.0486,12 months,52.61865036,81.64456403,,5.304252657,8,100,0,3,,33.85615177,1,2,20%,satisfied,0
C63,SaaS,Payments,EUrope,500+,,85355.08534,36 mnth,72.15670943,,547.9493313,14.25725403,4,20,0,7,,,48,3,0,,0
C64,Finance,E-commerce,LATAM,10k,27431.76049,68334.36209,48,,14.75838348,,17.12239292,8,5,1,,0,74.22618719,-8,3,10,executive sponsor left,0
C65,SaaS,AI,APAC,1000,,,48,14.94703311,87.39937607,665.1123126,5.22187875,5,,1,5,1,46.07866064,12,2,10,bad experince,0
C66,N/A,Payments,Europe,1000,477794.9155,77706.50331,36,,161.2543459,467.7667581,4.56122789,9,5,1,5,2,,41,1,10%,integration problem,0
C67,Heathcare,E-commerce,N. America,500+,28991.07623,48022.98358,12,1.297975247,123.9339856,237.2922464,9.885103672,7,,3,3,1,71.37821263,-97,2,20%,low usage,0
C68,Finanace, infra,EUrope,5000,12370.57736,116010.9178,24,11.02813746,,255.9907739,6.976295346,,50,6,2,3,,56,1,0,integration problem,0
,TECH,E-commerce,APAC,5000,,154238.9414,,24.12154856,103.0317967,336.1990044,,7,10,1,8,0,0.490935754,62,0,15,renewal likely,0
C70,Heathcare,Payments,North America,10k,1012638.123,143172.1887,36,6.807152069,206.9727495,348.1404077,17.32316931,6,20,,6,0,71.03988991,2,2,20,needs training,0
C71,Energy,Data,EUrope,10k,320623.1016,,12 months,,,323.4601825,20.60406454,8,,3,,0,47.1279654,58,2,10,satisfied,0
C72,,,N. America,500,54681.03652,190734.794,,40.65857216,129.6025475,339.661451,19.79232732,10,20,,0,1,63.1276928,64,0,,,0
C73,Energy,Cybersecurity, n. america,,77895.82391,144925.3567,24,,239.5694289,842.3707742,33.657013,6,5,0,2,0,52.9615992,-48,0,15,N/A,0
C74,Heathcare,AI,Europe,500,,110428.0835,36 mnth,66.32480572,112.7480666,724.0010622,1.546873588,5,100,,3,0,,-93,2,,,0
C75,SaaS,,North America,500,96375.3791,95524.30343,36,0.620079083,123.2948419,681.7693933,0.518876012,6,10,0,5,1,,4,0,10%,,0
C76,TECH,Cloud,North America,10000,696149.5834,43996.20193,24,22.08341331,226.6348251,469.4433772,6.388733343,4,20,3,7,1,,49,0,0,,0
C77,, none,,1000,9927.590076,,,24.34680846,55.79028356,782.2032232,8.876444001,7,20,1,5,0,33.31371357,-54,1,,renewal likely,0
C78,Technology,AI, middle east,200,143115.2743,4708.775193,,52.0638009,211.7376872,524.2079138,15.67356384,4,20,,2,0,52.06664412,61,0,,needs training,0
C79,TECH,E-commerce,APAC,200,12909.29498,84172.99962,24,147.258586,57.60306491,,8.722829939,5,100,0,4,,96.38473659,-52,1,0,needs training,0
C80,Finanace,AI,N. America,,47333.48579,52490.24457,12,36.18364718,126.5418115,247.9658437,0.266630281,7,,1,7,0,62.85505058,3,0,5,satisfied,0
C81,TECH,,Europe,200,8954089.442,74234.18276,12,8.195316978,109.637471,,1.578459701,4,,1,3,1,21.87090861,7,1,20%,,0
,Heathcare, infra ,Europe,1k,135634.1738,77724.57641,,,170.5841872,481.3169578,2.471349289,,,0,4,2,23.80064773,45,1,0,needs training,0
C83,Technology,Infra,Europe,500,155083.8905,,12 months,22.18950653,,461.9781946,3.351086205,6,100,,6,,54.3364785,-15,0,,executive sponsor left,0
C84,Heathcare,Payments,North America,500+,,113567.6869,36 mnth,3.556387297,-21.85995601,390.5829547,1.993352207,6,5,3,3,0,25.00530074,24,1,,,0
C85,Heathcare,,LATAM,1k,3651.96267,18033.811,36 mnth,,143.6951303,,,8,20,1,3,0,,72,1,15,,0
C86,Healthcare, payments,APAC,10k,1212102.136,,12,7.855324054,124.3367351,,23.93926384,3,50,,3,,92.85349084,-12,0,,pricing issue,0
C87,Technology,Infra,EUrope,5000,150205.8993,,,100.9729641,118.5892755,67.52484755,1.331370871,9,,3,4,0,41.70490698,8,0,0,,0
C88,Heathcare,Cloud,N. America,200,38653.8392,98538.98191,12,,102.5607242,655.8443067,0.954363037,6,50,0,,1,,61,,0,neutral,0
C89,,Data,APAC,1k,90954.35506,104882.601,36 mnth,223.5034233,209.67886,726.3373872,9.675012807,7,100,,5,0,,-36,1,,,0
C90,Healthcare,None,Europe,10000,201092.7502,,12 months,,114.8274909,486.5689175,18.00846096,5,5,1,2,1,100.201823,,1,,,0
C91,Technology,None,middle east,,24963.45843,34553.8769,,20.81339078,107.3012383,371.2290634,15.11790968,7,10,1,,,64.13585759,-59,0,N/A,needs training,0
C92,energy,Cloud,LATAM,500+,44401.64514,64590.56095,36 mnth,,,693.4683306,1.144297142,8,20,2,6,0,,23,0,20%,bad experince,0
C93,SaaS,N/A,LATAM,1000,114971.1861,166338.6268,36 mnth,,49.74697121,667.5036345,1.409733046,3,100,,4,1,,,0,5,,1
C94,Finanace,Data,APAC,5000,5605.081347,9133.907045,36,5.050464066,120.2426958,451.9642002,9.919984062,,,,5,0,38.58106185,-44,0,10%,,0
C95,,Cloud,N. America,10k,,167600.6083,12 months,165.515866,,616.2559511,3.746048082,3,,0,4,1,21.98698575,,1,10%,renewal likely,0
C96,TECH,Infra,EUrope,,16441.88907,128464.093,24,38.42284313,78.31095307,982.0001634,12.38333158,7,,0,3,0,88.43982721,13,1,,neutral,0
C97,,E-commerce,LATAM,1000,414271.9703,30279.75962,36 mnth,113.6061747,192.4378043,323.2770179,24.88482864,7,10,4,0,1,,-22,,,renewal likely,0
C98,TECH,Payments,EUrope,,22781.49712,99461.58107,,13.47339231,127.7571747,484.6033906,48.33643837,7,,0,2,0,,-3,0,20%,,0
C99,Heathcare,Cloud,LATAM,,,115356.9086,36 mnth,60.65380256,158.3962181,,3.867171283,5,50,,3,0,35.79261097,6,0,,renewal likely,0
C100,Finance,None,EUrope,500+,,55144.67499,,6.661942746,172.6098558,800.7739864,0.269451207,6,20,,2,,44.82863611,-4,0,20,neutral,0
C101, technology,Payments,N. America,1k,,-28876.83107,12,78.37211454,126.9261632,621.1353357,3.990327984,6,5,3,,,44.38659938,55,3,,satisfied,0
C102,Finanace,E-commerce,APAC,200,24214.38529,22095.90538,,5.957297257,140.9624754,645.9623728,28.881041,4,20,0,,2,22.62369375,28,1,20,renewal likely,0
C103,Finanace,E-commerce,EUrope,,4094.420648,100795.8609,,21.17108575,25.88249533,,0.382525158,6,50,1,3,,,-59,3,,integration problem,0
C104,Heathcare,,,500+,66154.24925,86462.38231,36 mnth,,79.75495147,689.8210576,23.72063483,6,50,3,3,0,88.48581247,49,0,10%,,0
C105,Energy,Cloud,Europe,10000,106528.6517,121881.41,36 mnth,5.326135641,198.9365394,795.1780001,,5,5,,2,1,48.79756282,-7,3,,executive sponsor left,0
C106,Healthcare,E-commerce,,10000,4329.007905,-23239.08379,36,55.08717849,122.880194,452.1428734,15.81138092,4,20,,2,0,72.20439566,83,0,15,,0
C107,,AI,APAC,50,898106.804,131162.4541,48,6.768153828,119.9064529,826.7797919,7.343160697,3,5,,,2,,-69,0,,N/A,0
C108,Manufacturing,AI,N. America,,86340.02953,133606.1292,36,,67.20619805,659.9593384,2.379529181,6,,0,3,,,71,4,0,needs training,0
C109,Healthcare,E-commerce,LATAM,1k,15840.28707,73065.71508,24,17.23611773,154.4700735,513.0615667,22.77793026,10,10,,5,,73.39391836,-68,0,,pricing issue,0
C110,N/A,AI,APAC,200,306884.9262,53626.7096,24,,114.8856259,392.930222,6.669321274,2,20,2,8,,,41,2,,neutral,0
,,Cybersecurity,LATAM,5000,4003.358444,37929.25088,24,,,659.503885,3.04362307,7,,1,4,,,-75,1,0, needs training ,0
C112,Energy,E-commerce,APAC,50,421688.3164,136058.2344,48,32.38421588,99.59658279,529.6131673,5.48131954,7,20,3,,,46.75854581,41,1,20%, neutral,0
C113,Healthcare,E-commerce,Middle East,500+,,114742.0407,,23.45576305,,487.9248826,15.50961444,4,,1,,0,33.45155802,-82,1,,,0
C114,Technology,Infra,LATAM,500,23284.20138,,48,7.266199928,96.15618489,460.7220943,4.949709139,1,20,,0,0,36.41304787,-63,1,,integration problem,0
C115,Energy,,Europe,,78067.72893,109381.5256,24,32.48012824,176.003548,694.0986006,18.57511058,6,100,,1,,,81,3,,neutral,0
C116,SaaS,Payments,North America,10000,,63822.99513,48,17.31289414,56.99667428,370.5413867,5.311375028,7,20,1,,,58.90026349,-20,1,,,0
C117,Finanace,Payments,LATAM,5000,46094.42961,138650.699,,11.36997837,38.50308456,106.4044101,,8,20,0,0,2,,-38,3,10,renewal likely,0
C118,Finanace,,EUrope,500,,,,,118.0085381,331.5650975,7.610085007,7,,1,3,0,38.16443814,-16,2,20,,0
C119,,Payments,APAC,50,33947.3675,139318.7998,36,0.394050001,166.826191,565.4927531,0.914368667,6,100,3,2,1,,-31,2,N/A,neutral,0
C120,SaaS,AI,Europe,50,109847.8259,98748.76571,,22.34616897,40.8502568,460.9210391,,7,,3,6,1,,49,0,N/A,bad experince,0
C121,SaaS,,N. America,10k,133204.9167,,48,28.33654483,146.8170328,517.4473788,8.341929402,,,4,7,0,,10,,0,executive sponsor left,0
,Healthcare,Infra,,1k,669204.2794,117690.489,12,20.021627,105.9400577,401.1354701,8.865811803,7,,0,2,0,72.58035225,66,0,10%,neutral,0
C123,Finanace,AI,LATAM,50,221761.7368,,48,91.03296574,,374.2872703,5.926453577,5,20,,4,,75.67009328,-97,1,,,0
C124,,,N. America,500,93719.29452,95832.27094,36,60.91904743,147.4227602,350.4195455,21.39580985,4,5,1,3,,,-73,1,10,integration problem,0
C125,Retail,Cloud,APAC,50,237660.336,161908.2684,12,58.0730975,138.0677758,,,3,10,2,2,1,,-49,0,10,,0
C126,,Payments,N. America,1000,13990.05585,113312.6453,48,,201.7147264,555.3112407,1.023402333,6,,1,5,1,33.40022903,90,1,15,integration problem,0
C127,Energy, d@t@ ,Middle East,50,33118.17261,80400.48684,24,17.05568244,194.5152312,395.7743545,18.76728514,7,50,0,2,0,78.63219877,74,2,20%,satisfied,0
C128,Finanace,None,N. America,1k,303019.9245,64871.78641,48,,149.852442,609.8533066,1.351447563,6,5,1,3,,,-84,0,10,pricing issue,0
C129,Finanace,Infra,N. America,1k,56750.92504,63044.19594,36,22.25427525,148.8784667,624.5446264,12.70564359,3,20,1,4,,37.50018789,30,1,15,,0
,Retail,,LATAM,10000,38687.96739,25030.3539,,,121.9344924,787.7291236,5.897460802,11,50,2,1,1,,-62,0,0,integration problem,0
C131,Finanace,None,Middle East,,8379.89226,-28026.84667,36,1.36473109,129.8283544,477.3054583,2.54568444,14,,1,3,0,52.02385588,98,,5,,0
,Healthcare,Cloud,North America,,126896.7249,101949.5719,,9.399580535,81.98198026,510.1132884,3.249867021,5,20,2,2,0,,80,1,,integration problem,0
C133,Manufacturing,,EUrope,,289785.2025,81767.89416,12 months,61.26593814,154.5822273,203.8776366,20.41113371,5,,3,4,,90.43835292,-82,1,20,,0
C134,Finance,None,North America,,771866.8365,-45617.64635,12,102.8485924,79.19318775,756.4043753,16.82661199,8,,3,4,0,83.02925728,-11,0,15,bad experince,0
C135, saas ,,North America,1k,92392.99914,,36,43.16726413,56.02242477,420.4866574,0.785478692,4,,0,4,0,60.63662159,-22,0,,,0
C136,,,N. America,10000,458493.1064,58796.66559,36 mnth,6.655975693,12.87209907,691.343231,1.142545858,3,50,0,7,0,,88,0,20,,0
C137,Energy,,North America,5000,307780.1156,94828.29291,36,0.165477758,181.6546083,260.6797176,8.047382045,10,50,3,2,2,83.99097924,20,2,15,low usage,0
C138,Manufacturing,Data,,10k,43972.33633,62370.15638,,10.31205871,,484.6398052,2.130582307,,50,1,,,9.21662344,3,1,10%,low usage,0
C139,Retail,Infra,,5000,,81094.01882,,10.72290855,153.8201698,383.8804744,8.631734695,3,5,,6,2,61.99957247,98,2,10, low usage ,0
C140,SaaS,E-commerce,LATAM,10000,40955.62778,45711.82483,12 months,31.74873043,88.31648318,,8.289686973,7,10,2,,,,-21,1,5,executive sponsor left,0
C141,Finanace,None,Middle East,500,83707.27867,175395.3996,48,0.238956354,28.91574633,,,2,100,1,2,0,92.15622569,88,1,20%,renewal likely,0
C142,,Payments,N. America,200,235164.2378,11181.42939,12,11.9094952,97.69961121,585.6092866,27.33254601,1,5,2,2,1,17.72211037,,,5,satisfied,0
C143,Finanace,Data,LATAM,,80912.74897,74955.32055,24,0.691389192,73.89764039,428.6443941,0.870301007,7,5,,4,0,59.38856112,-68,1,5,renewal likely,0
C144,Technology,AI,,500,38989.11423,,36 mnth,,67.17399894,492.8596545,8.986220568,3,,,5,,54.88520324,48,0,20%,renewal likely,0
C145, technology,None,N. America,5000,24168.00439,40857.16822,,25.01889572,138.119919,606.43404,10.36748271,,100,2,3,1,,-77,1,15,,0
C146,TECH,AI,Europe,10000,193916.6336,35128.24506,36,153.7848026,82.26193703,,14.57976035,1,,3,4,0,15.57167777,-21,1,,integration problem,0
C147,TECH,Cybersecurity,LATAM,500+,52590.71876,106565.6896,24,23.69478532,104.5178403,344.3958441,25.67888967,7,100,1,2,1,49.27106774,-9,1,20%,,0
C148,Retail,Infra,LATAM,50,130719.5369,65267.94175,24,38.67699322,156.5125058,856.954878,12.34331059,7,,5,2,,53.83171977,-97,0,15,,0
C149,TECH,,APAC,50,,67820.79138,12 months,44.53844863,30.31136648,641.2838932,18.87992791,6,,2,3,1,9.858080472,42,2,10%,bad experince,0
C150,Healthcare,Payments,N. America,200,16282.95751,75895.87769,12,40.75456921,10.25255327,552.6547136,4.901422295,3,,0,6,0,66.76185629,,0,,executive sponsor left,0
C151,,AI,Middle East,,414405.9386,43569.46066,12,16.13316595,144.9498921,598.8398487,8.897019069,2,,1,1,3,10.96901629,73,2,0,low usage,0
C152,Manufacturing,Infra,Middle East,1000,7079.678928,77176.86518,,0.705214774,163.8646787,597.5929577,0.289477547,4,50,4,3,0,,29,0,20,,0
C153,Heathcare,Payments,APAC,500,44182.71669,140559.382,,38.49335926,113.906295,151.906037,6.342816768,2,100,2,5,0,,31,2,20%,,0
C154,TECH,AI,Middle East,500+,73068.0157,102508.7546,,65.4068446,163.532886,578.0044026,27.02754566,5,10,2,2,0,24.51059671,-50,1,,renewal likely,0
C155,,E-commerce,europe,1k,15184.56525,128373.4464,24,,113.6498233,,4.671774243,,10,1,2,,,,1,20,,0
,,Data,N. America,1000,42651.24146,107099.2649,24,,155.6820752,,6.453011542,9,10,2,2,,35.81946415,-69,1,15,pricing issue,0
C157,Healthcare,Cloud,EUrope,,,45528.86433,36 mnth,16.61732912,149.3407446,594.5653989,0.782761372,6,,2,1,0,35.78134294,31,2,0,N/A,0
C158,SaaS,Payments,,,47342.64283,79207.39102,36,9.186167715,108.2246959,413.2102339,14.49928233,,5,3,3,,29.51483391,,2,20,,0
C159,,Infra,LATAM,,2289313.464,62837.24939,,27.59815519,199.3385956,328.199228,2.704315972,,10,1,2,0,,-38,,,neutral,0
C160,Manufacturing,Cybersecurity,North America,10k,28002.56246,105145.7064,12 months,,105.1386864,727.866514,0.742564235,6,,1,6,1,14.5810004,8,0,10%,needs training,0
C161,,,Middle East,1k,259522.343,131322.534,48,7.030507203,209.1841135,337.8408893,0.417886329,6,5,,,1,3.667976513,77,1,15,,0
C162,TECH,Cloud,,5000,88613.37656,,36 mnth,21.03215249,177.7995564,648.5208896,6.371114644,4,20,0,2,0,104.4954233,-100,1,,neutral,0
C163,Retail,E-commerce,Middle East,50,48753.47433,,12 months,8.897562851,53.49718184,555.495334,11.29306033,10,50,2,,0,,48,3,,,0
C164,Technology,E-commerce,N. America,1000,90620.59274,190349.0178,36 mnth,7.282533525,-10.04706808,684.9084416,31.92655117,3,100,2,6,0,,52,0,,pricing issue,0
C165,Technology,Cybersecurity,,,199059.5912,87161.4963,12 months,70.21387305,73.42807327,849.6700443,11.61670165,3,20,0,4,,48.03130885,62,2,10,satisfied,0
C166,N/A,,EUrope,,517308.4027,129622.9871,48,68.46767083,44.86329585,587.6733296,12.89315951,8,10,0,3,,79.79418307,-67,2,10,,1
C167,Retail,Cloud,LATAM,,2782.866172,152990.3204,,11.55640645,100.5116977,465.9772548,12.02780801,2,,1,8,1,15.19877953,-94,1,15,integration problem,0
C168,Finanace,Infra,EUrope,500+,123808.7814,105799.7,12,,,557.3673459,4.439372977,2,,1,5,0,21.74308046,-92,2,15,needs training,0
,Finance,Cloud,,,158975.615,,24,2.929114343,,595.8358959,0.229782057,9,50,1,1,0,,-49,1,5, integration problem,0
C170,,E-commerce,N. America,500+,,22129.76043,12,,24.32933599,304.4895521,47.40866109,5,20,,6,1,50.53817497,,,10,,0
C171,Technology, e-commerce ,Europe,,68577.13096,81362.0997,12 months,26.32332709,178.1657019,,17.102459,,100,2,6,,49.25057956,,0,,low usage,0
C172,Energy,E-commerce,LATAM,500+,77112.95556,,36,13.83494516,80.8851138,,4.742627816,7,5,,3,1,51.29494322,59,2,N/A, executive sponsor left,0
C173,Technology,Infra,Middle East,10000,32848.32861,43316.13242,,,129.3126011,352.7472959,,4,50,1,1,,58.68145718,79,1,0,pricing issue,0
,,Cybersecurity,North America,5000,,125022.4046,36 mnth,,60.44476402,605.7013673,1.875580215,7,5,0,,0,59.53885322,,1,,bad experince,0
C175,Technology,Payments,Middle East,10k,64929.48889,110224.1432,48,,296.3296667,474.8104585,9.453076063,9,100,2,5,0,67.2111559,-44,,5,,0
C176,Technology,Data,,10k,3132.151696,70885.72258,12 months,19.35198224,75.91015043,588.0178989,5.624115046,3,10,3,3,,56.29621623,-22,,20%,integration problem,0
C177,Finance,,APAC,5000,10619.69241,102298.9935,,,167.0548117,647.6664493,3.399121187,3,50,1,1,1,45.12174426,-58,0,,N/A,0
