,Industry,Sub Industry,Region,Company size,Annual revenue(USD),Contract value(USD),Contract length(m),Product usage hours(3m),Product usage hours(12m),Login frequency(30d),Active users,Licensed users,Analyst calls(6m),Support tickets(6m),Support escalations(6m),Avg resolution time(hrs),Nps score,Survey response count(12m),Discount,Account notes,Churn flag,Tenure(d),missing_discount,missing_licensed_users,missing_avg_resolution,missing_contract,missing_tenure,missing_support_esc,missing_analyst_calls,missing_product_usage(3m),missing_product_usage(12m),missing_nps_score,missing_contract_length,Utilization ratio,Utilization Bin,Resolution_Time_Bucket,NPS_Category,tenure_bucket
11,Healthcare,Cybersecurity,Middle East,1000,54244.16,91384.66,,252.53,512.19,8.69,7,20,1.0,4,1.0,38.37,87,0,,,0.0,632,1,0,0,0,0,0,0,0,0,0,1,0.35,"(0.2, 0.4]",24-48h,Promoter (51 to 100),18-24 months
12,Healthcare,,Latam,50,25563.28,,12,,450.16,12.85,6,5,1.0,5,0.0,,-62,2,0.15,renewal likely,0.0,,0,0,1,1,1,0,0,1,0,0,0,1.2,,,Detractor (-100 to 0),
13,Healthcare,,Apac,10000,68579.31,,24,202.67,609.76,21.23,4,,2.0,0,0.0,109.35,13,,,renewal likely,0.0,354,1,1,0,1,0,0,0,0,0,0,0,,,,Passive (1 to 50),6-12 months
14,Manufacturing,,Europe,10000,128306.73,88406.02,,106.6,711.49,10.33,4,50,1.0,7,,,88,0,0.0,,0.0,2097,0,0,1,0,0,1,0,0,0,0,1,0.08,"(0.0, 0.2]",,Promoter (51 to 100),5-10 years
15,Energy,Cybersecurity,Europe,,16254.31,96795.84,,193.44,,7.66,7,,3.0,2,0.0,44.59,97,1,0.1, integration problem,0.0,722,0,1,0,0,0,0,0,0,1,0,1,,,24-48h,Promoter (51 to 100),18-24 months
16,Finance,Data,Middle East,,138091.91,85523.0,12,94.26,407.85,20.71,,100,3.0,1,,60.84,-72,2,0.15,executive sponsor left,0.0,294,0,0,0,0,0,1,0,0,0,0,0,,,48h+,Detractor (-100 to 0),6-12 months
17,,Data,Europe,10000,,78723.26,48,119.95,320.5,8.69,10,,,4,1.0,33.26,-30,2,0.05,,0.0,,0,1,0,0,1,0,1,0,0,0,0,,,24-48h,Detractor (-100 to 0),
18,Manufacturing,Payments,Middle East,200,2050665.51,112171.71,36,43.5,320.97,21.77,,5,4.0,2,1.0,,-34,1,0.05,bad experince,0.0,1047,0,0,1,0,0,0,0,0,0,0,0,,,,Detractor (-100 to 0),2-3 years
19,Finance,,Middle East,,199460.69,,12,,422.15,12.59,4,,1.0,2,,18.67,-85,0,,,0.0,934,1,1,0,1,0,1,0,1,0,0,0,,,12-24h,Detractor (-100 to 0),2-3 years
20,Energy,,Europe,10000,38132.18,52409.94,,-13.27,317.31,13.01,4,,1.0,2,,64.55,-24,0,0.15,,0.0,3881,0,1,0,0,0,1,0,0,0,0,1,,,48h+,Detractor (-100 to 0),10+ years
21,Technology,Cloud,,10000,186007.24,109135.7,36,141.8,610.9,6.68,6,10,1.0,3,0.0,41.24,-53,,,,0.0,315,1,0,0,0,0,0,0,0,0,0,0,0.6,"(0.4, 0.6]",24-48h,Detractor (-100 to 0),6-12 months
22,Saas,Payments,Europe,,38341.55,88411.82,12,53.51,649.54,4.17,13,,,2,2.0,,97,2,0.0,,0.0,245,0,1,1,0,0,0,1,0,0,0,0,,,,Promoter (51 to 100),6-12 months
23,Manufacturing,Data,Europe,50,35281.44,,36,117.13,486.84,,11,5,1.0,2,1.0,12.79,-39,,0.1,executive sponsor left,0.0,93,0,0,0,1,0,0,0,0,0,0,0,2.2,,12-24h,Detractor (-100 to 0),3-6 months
24,Technology,Cybersecurity,Latam,10000,34475.16,110058.0,24,137.06,566.2,1.84,6,,0.0,2,0.0,37.89,84,1,,executive sponsor left,0.0,,1,1,0,0,1,0,0,0,0,0,0,,,24-48h,Promoter (51 to 100),
25,Technology,Payments,Middle East,10000,4681.21,,12,,769.39,8.78,5,10,4.0,0,0.0,22.57,-86,2,0.2,integration problem,0.0,258,0,0,0,1,0,0,0,1,0,0,0,0.5,"(0.4, 0.6]",12-24h,Detractor (-100 to 0),6-12 months
26,Saas,E-commerce,,50,81719.01,78660.8,12,135.18,710.88,3.51,2,,,,0.0,42.28,,,0.15,bad experince,0.0,,0,1,0,0,1,0,1,0,0,1,0,,,24-48h,,
27,,,North America,10000,8761.76,,36,134.8,509.31,0.33,3,10,2.0,2,0.0,23.03,-5,1,0.0,,0.0,517,0,0,0,1,0,0,0,0,0,0,0,0.3,"(0.2, 0.4]",12-24h,Detractor (-100 to 0),12-18 months
28,Finance,,Middle East,500,66090.53,57938.58,12,132.58,664.83,6.0,9,20,3.0,1,,71.24,55,0,0.2,executive sponsor left,0.0,,0,0,0,0,1,1,0,0,0,0,0,0.45,"(0.4, 0.6]",48h+,Promoter (51 to 100),
29,,,North America,200,17421.06,109221.35,12,153.06,566.99,13.37,4,50,1.0,1,,6.9,-22,2,0.1,,0.0,1426,0,0,0,0,0,1,0,0,0,0,0,0.08,"(0.0, 0.2]",6-12h,Detractor (-100 to 0),3-5 years
30,Technology,Payments,,500,21317.4,,36,-25.5,349.78,8.17,7,,1.0,5,0.0,41.25,78,1,,renewal likely,0.0,689,1,1,0,1,0,0,0,0,0,0,0,,,24-48h,Promoter (51 to 100),18-24 months
31,,Infra,North America,,258665.64,,36,,456.9,13.09,13,,1.0,3,,50.88,-66,2,,bad experince,0.0,454,1,1,0,1,0,1,0,1,0,0,0,,,48h+,Detractor (-100 to 0),12-18 months
32,,Cybersecurity,,1000,222591.74,139731.3,12,116.75,550.79,11.25,2,50,3.0,1,0.0,58.96,-47,2,0.15, integration problem ,0.0,11,0,0,0,0,0,0,0,0,0,0,0,0.04,"(0.0, 0.2]",48h+,Detractor (-100 to 0),0-3 months
33,Healthcare,,,,3122.98,-8574.89,48,44.82,458.99,3.26,6,50,0.0,2,1.0,,24,1,0.1,,0.0,761,0,0,1,0,0,0,0,0,0,0,0,0.12,"(0.0, 0.2]",,Passive (1 to 50),2-3 years
34,Finance,Infra,North America,10000,426011.17,110909.22,36,,358.51,2.34,7,50,2.0,4,0.0,55.71,-80,1,0.15,,0.0,425,0,0,0,0,0,0,0,1,0,0,0,0.14,"(0.0, 0.2]",48h+,Detractor (-100 to 0),12-18 months
35,Energy,Cybersecurity,Europe,,15487.16,,12,106.04,778.25,0.14,2,,2.0,4,,49.25,-49,2,0.1,,0.0,118,0,1,0,1,0,1,0,0,0,0,0,,,48h+,Detractor (-100 to 0),3-6 months
36,Technology,AI,Europe,,72513.76,153240.76,24,25.91,647.53,6.0,2,100,,3,0.0,,-100,1,0.1,integration problem,0.0,2053,0,0,1,0,0,0,1,0,0,0,0,0.02,"(0.0, 0.2]",,Detractor (-100 to 0),5-10 years
37,Finance,AI,North America,50,609071.67,,48,,715.99,4.07,8,10,1.0,4,,36.55,,4,,,0.0,552,1,0,0,1,0,1,0,1,0,1,0,0.8,"(0.6, 0.8]",24-48h,,18-24 months
38,Finance,Infra,,500,30669.26,,48,220.71,803.18,10.63,5,10,5.0,3,0.0,13.1,82,2,0.2,neutral,0.0,1016,0,0,0,1,0,0,0,0,0,0,0,0.5,"(0.4, 0.6]",12-24h,Promoter (51 to 100),2-3 years
39,Retail,AI,Europe,1000,42243.22,,,35.35,587.75,28.43,7,10,1.0,5,1.0,73.41,62,3,0.1,satisfied,0.0,3127,0,0,0,1,0,0,0,0,0,0,1,0.7,"(0.6, 0.8]",48h+,Promoter (51 to 100),5-10 years
40,Technology,,Apac,1000,941062.33,,36,89.22,,9.26,5,,3.0,6,1.0,14.64,59,1,0.2,,0.0,1366,0,1,0,1,0,0,0,0,1,0,0,,,12-24h,Promoter (51 to 100),3-5 years
41,Finance,Infra,,10000,16254.69,142472.32,,199.74,416.51,,4,50,0.0,0,1.0,37.05,,2,0.15,low usage,0.0,2179,0,0,0,0,0,0,0,0,0,1,1,0.08,"(0.0, 0.2]",24-48h,,5-10 years
42,Saas,Cloud,Europe,,25522.75,17964.1,24,,513.71,9.11,7,10,2.0,7,2.0,48.34,79,1,,bad experince,0.0,1061,1,0,0,0,0,0,0,1,0,0,0,0.7,"(0.6, 0.8]",48h+,Promoter (51 to 100),2-3 years
43,Technology,,Apac,1000,124455.7,108262.44,12,82.97,419.69,6.67,,,1.0,1,,60.28,-58,1,0.2,neutral,0.0,1279,0,1,0,0,0,1,0,0,0,0,0,,,48h+,Detractor (-100 to 0),3-5 years
44,Saas,,Latam,500,95777.43,147584.51,24,54.92,251.07,0.22,10,20,1.0,3,0.0,57.88,-65,1,0.0,needs training,0.0,50,0,0,0,0,0,0,0,0,0,0,0,0.5,"(0.4, 0.6]",48h+,Detractor (-100 to 0),0-3 months
45,Energy,,Middle East,,21573.96,158095.24,48,164.76,227.02,7.02,9,50,,9,1.0,67.25,-7,0,,satisfied,0.0,,1,0,0,0,1,0,1,0,0,0,0,0.18,"(0.0, 0.2]",48h+,Detractor (-100 to 0),
46,Finance,E-commerce,Europe,10000,333423.15,147594.66,36,30.73,655.86,5.67,8,5,0.0,2,0.0,55.09,,0,,,0.0,1077,1,0,0,0,0,0,0,0,0,1,0,1.6,,48h+,,2-3 years
47,,Cloud,North America,200,37404.3,56251.58,,69.26,435.26,29.72,,20,0.0,3,1.0,37.77,,3,0.1, executive sponsor left,0.0,975,0,0,0,0,0,0,0,0,0,1,1,,,24-48h,,2-3 years
48,Finance,,Latam,10000,20239.38,167861.98,36,,325.44,4.17,3,,0.0,,0.0,49.59,56,0,0.15,executive sponsor left,0.0,,0,1,0,0,1,0,0,1,0,0,0,,,48h+,Promoter (51 to 100),
49,,Cloud,Latam,50,76227.71,,24,137.62,,7.59,8,5,0.0,1,0.0,,79,1,, executive sponsor left ,0.0,1863,1,0,1,1,0,0,0,0,1,0,0,1.6,,,Promoter (51 to 100),5-10 years
50,Healthcare,,North America,10000,6106.09,34054.61,36,143.72,,1.87,7,10,0.0,1,1.0,54.21,,1,,bad experince,0.0,660,1,0,0,0,0,0,0,0,1,1,0,0.7,"(0.6, 0.8]",48h+,,18-24 months
51,Technology,,,500,4350.13,79027.19,12,92.0,530.94,28.11,5,100,4.0,2,1.0,53.92,46,3,,,0.0,363,1,0,0,0,0,0,0,0,0,0,0,0.05,"(0.0, 0.2]",48h+,Passive (1 to 50),6-12 months
52,Retail,,Latam,1000,803658.39,124042.95,24,163.96,660.25,4.66,5,50,1.0,4,1.0,74.8,,1,,low usage,0.0,234,1,0,0,0,0,0,0,0,0,1,0,0.1,"(0.0, 0.2]",48h+,,6-12 months
53,Finance,Payments,North America,200,23754.14,194374.54,12,122.64,242.01,1.18,8,20,0.0,3,0.0,20.26,-41,0,,,0.0,,1,0,0,0,1,0,0,0,0,0,0,0.4,"(0.2, 0.4]",12-24h,Detractor (-100 to 0),
54,Healthcare,Cloud,,,,,24,153.8,258.05,13.69,,10,0.0,4,1.0,44.32,-11,2,0.05,neutral,0.0,2341,0,0,0,1,0,0,0,0,0,0,0,,,24-48h,Detractor (-100 to 0),5-10 years
55,Retail,,Middle East,,174313.91,137399.86,36,,569.38,12.08,11,20,1.0,5,2.0,81.23,,3,0.1,,0.0,142,0,0,0,0,0,0,0,1,0,1,0,0.55,"(0.4, 0.6]",48h+,,3-6 months
56,Finance,Infra,North America,10000,46174.5,30169.25,24,225.8,638.8,17.58,4,50,0.0,4,0.0,47.68,50,0,0.0,low usage,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.08,"(0.0, 0.2]",24-48h,Passive (1 to 50),
57,Manufacturing,,Europe,,238115.03,,36,,582.71,9.32,5,10,,6,0.0,46.8,35,0,,low usage,0.0,,1,0,0,1,1,0,1,1,0,0,0,0.5,"(0.4, 0.6]",24-48h,Passive (1 to 50),
58,Manufacturing,AI,Middle East,10000,21198.43,46133.13,12,147.44,-74.66,,4,,0.0,4,0.0,52.29,3,0,0.1,,0.0,2673,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Passive (1 to 50),5-10 years
59,Saas,Payments,North America,5000,3370.14,,12,137.15,517.6,0.82,5,,,2,0.0,50.55,-70,1,0.2,renewal likely,0.0,3015,0,1,0,1,0,0,1,0,0,0,0,,,48h+,Detractor (-100 to 0),5-10 years
60,Retail,Data,,,83657.59,,24,37.45,487.54,1.6,3,5,0.0,1,,,89,1,0.2,satisfied,0.0,199,0,0,1,1,0,1,0,0,0,0,0,0.6,"(0.4, 0.6]",,Promoter (51 to 100),6-12 months
61,Manufacturing,,North America,,51046.27,126210.08,12,161.22,297.95,21.77,5,50,0.0,2,,11.75,-1,2,,,0.0,404,1,0,0,0,0,1,0,0,0,0,0,0.1,"(0.0, 0.2]",6-12h,Detractor (-100 to 0),12-18 months
62,Finance,,North America,50,5104.14,179230.05,12,81.64,,5.3,8,100,0.0,3,,33.86,1,2,0.2,satisfied,0.0,1579,0,0,0,0,0,1,0,0,1,0,0,0.08,"(0.0, 0.2]",24-48h,Passive (1 to 50),3-5 years
63,Saas,Payments,Europe,500,,85355.09,36,,547.95,14.26,4,20,0.0,7,,,48,3,0.0,,0.0,2165,0,0,1,0,0,1,0,1,0,0,0,0.2,"(0.0, 0.2]",,Passive (1 to 50),5-10 years
64,Finance,E-commerce,Latam,10000,27431.76,68334.36,48,14.76,,17.12,8,5,1.0,,0.0,74.23,-8,3,0.1,executive sponsor left,0.0,,0,0,0,0,1,0,0,0,1,0,0,1.6,,48h+,Detractor (-100 to 0),
65,Saas,AI,Apac,1000,,,48,87.4,665.11,5.22,5,,1.0,5,1.0,46.08,12,2,0.1,bad experince,0.0,448,0,1,0,1,0,0,0,0,0,0,0,,,24-48h,Passive (1 to 50),12-18 months
66,,Payments,Europe,1000,477794.92,77706.5,36,161.25,467.77,4.56,9,5,1.0,5,2.0,,41,1,0.1,integration problem,0.0,,0,0,1,0,1,0,0,0,0,0,0,1.8,,,Passive (1 to 50),
67,Healthcare,E-commerce,North America,500,28991.08,48022.98,12,123.93,237.29,9.89,7,,3.0,3,1.0,71.38,-97,2,0.2,low usage,0.0,39,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Detractor (-100 to 0),0-3 months
68,Finance,Infra,Europe,5000,12370.58,116010.92,24,,255.99,6.98,,50,6.0,2,3.0,,56,1,0.0,integration problem,0.0,331,0,0,1,0,0,0,0,1,0,0,0,,,,Promoter (51 to 100),6-12 months
69,Technology,E-commerce,Apac,5000,,154238.94,,103.03,336.2,,7,10,1.0,8,0.0,0.49,62,0,0.15,renewal likely,0.0,724,0,0,0,0,0,0,0,0,0,0,1,0.7,"(0.6, 0.8]",<6h,Promoter (51 to 100),18-24 months
70,Healthcare,Payments,North America,10000,1012638.12,143172.19,36,206.97,348.14,17.32,6,20,,6,0.0,71.04,2,2,0.2,needs training,0.0,204,0,0,0,0,0,0,1,0,0,0,0,0.3,"(0.2, 0.4]",48h+,Passive (1 to 50),6-12 months
71,Energy,Data,Europe,10000,320623.1,,12,,323.46,20.6,8,,3.0,,0.0,47.13,58,2,0.1,satisfied,0.0,,0,1,0,1,1,0,0,1,0,0,0,,,24-48h,Promoter (51 to 100),
72,,,North America,500,54681.04,190734.79,,129.6,339.66,19.79,10,20,,0,1.0,63.13,64,0,,,0.0,1220,1,0,0,0,0,0,1,0,0,0,1,0.5,"(0.4, 0.6]",48h+,Promoter (51 to 100),3-5 years
73,Energy,Cybersecurity,North America,,77895.82,144925.36,24,239.57,842.37,33.66,6,5,0.0,2,0.0,52.96,-48,0,0.15,,0.0,,0,0,0,0,1,0,0,0,0,0,0,1.2,,48h+,Detractor (-100 to 0),
74,Healthcare,AI,Europe,500,,110428.08,36,112.75,724.0,1.55,5,100,,3,0.0,,-93,2,,,0.0,1990,1,0,1,0,0,0,1,0,0,0,0,0.05,"(0.0, 0.2]",,Detractor (-100 to 0),5-10 years
75,Saas,,North America,500,96375.38,95524.3,36,123.29,681.77,0.52,6,10,0.0,5,1.0,,4,0,0.1,,0.0,19,0,0,1,0,0,0,0,0,0,0,0,0.6,"(0.4, 0.6]",,Passive (1 to 50),0-3 months
76,Technology,Cloud,North America,10000,696149.58,43996.2,24,226.63,469.44,6.39,4,20,3.0,7,1.0,,49,0,0.0,,0.0,663,0,0,1,0,0,0,0,0,0,0,0,0.2,"(0.0, 0.2]",,Passive (1 to 50),18-24 months
77,,None,,1000,9927.59,,,55.79,782.2,8.88,7,20,1.0,5,0.0,33.31,-54,1,,renewal likely,0.0,730,1,0,0,1,0,0,0,0,0,0,1,0.35,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),18-24 months
78,Technology,AI,Middle East,200,143115.27,4708.78,,211.74,524.21,15.67,4,20,,2,0.0,52.07,61,0,,needs training,0.0,1562,1,0,0,0,0,0,1,0,0,0,1,0.2,"(0.0, 0.2]",48h+,Promoter (51 to 100),3-5 years
79,Technology,E-commerce,Apac,200,12909.29,84173.0,24,57.6,,8.72,5,100,0.0,4,,96.38,-52,1,0.0,needs training,0.0,4418,0,0,0,0,0,1,0,0,1,0,0,0.05,"(0.0, 0.2]",48h+,Detractor (-100 to 0),10+ years
80,Finance,AI,North America,,47333.49,52490.24,12,126.54,247.97,0.27,7,,1.0,7,0.0,62.86,3,0,0.05,satisfied,0.0,1086,0,1,0,0,0,0,0,0,0,0,0,,,48h+,Passive (1 to 50),2-3 years
81,Technology,,Europe,200,8954089.44,74234.18,12,109.64,,1.58,4,,1.0,3,1.0,21.87,7,1,0.2,,0.0,246,0,1,0,0,0,0,0,0,1,0,0,,,12-24h,Passive (1 to 50),6-12 months
82,Healthcare,Infra,Europe,1000,135634.17,77724.58,,170.58,481.32,2.47,,,0.0,4,2.0,23.8,45,1,0.0,needs training,0.0,,0,1,0,0,1,0,0,0,0,0,1,,,12-24h,Passive (1 to 50),
83,Technology,Infra,Europe,500,155083.89,,12,,461.98,3.35,6,100,,6,,54.34,-15,0,,executive sponsor left,0.0,666,1,0,0,1,0,1,1,1,0,0,0,0.06,"(0.0, 0.2]",48h+,Detractor (-100 to 0),18-24 months
84,Healthcare,Payments,North America,500,,113567.69,36,-21.86,390.58,1.99,6,5,3.0,3,0.0,25.01,24,1,,,0.0,107,1,0,0,0,0,0,0,0,0,0,0,1.2,,24-48h,Passive (1 to 50),3-6 months
85,Healthcare,,Latam,1000,3651.96,18033.81,36,143.7,,,8,20,1.0,3,0.0,,72,1,0.15,,0.0,,0,0,1,0,1,0,0,0,1,0,0,0.4,"(0.2, 0.4]",,Promoter (51 to 100),
86,Healthcare,Payments,Apac,10000,1212102.14,,12,124.34,,23.94,3,50,,3,,92.85,-12,0,,pricing issue,0.0,236,1,0,0,1,0,1,1,0,1,0,0,0.06,"(0.0, 0.2]",48h+,Detractor (-100 to 0),6-12 months
87,Technology,Infra,Europe,5000,150205.9,,,118.59,67.52,1.33,9,,3.0,4,0.0,41.7,8,0,0.0,,0.0,3029,0,1,0,1,0,0,0,0,0,0,1,,,24-48h,Passive (1 to 50),5-10 years
88,Healthcare,Cloud,North America,200,38653.84,98538.98,12,102.56,655.84,0.95,6,50,0.0,,1.0,,61,,0.0,neutral,0.0,,0,0,1,0,1,0,0,0,0,0,0,0.12,"(0.0, 0.2]",,Promoter (51 to 100),
89,,Data,Apac,1000,90954.36,104882.6,36,209.68,726.34,9.68,7,100,,5,0.0,,-36,1,,,0.0,6705,1,0,1,0,0,0,1,0,0,0,0,0.07,"(0.0, 0.2]",,Detractor (-100 to 0),10+ years
90,Healthcare,,Europe,10000,201092.75,,12,114.83,486.57,18.01,5,5,1.0,2,1.0,100.2,,1,,,0.0,,1,0,0,1,1,0,0,0,0,1,0,1.0,"(0.8, 1.0]",,,
91,Technology,,Middle East,,24963.46,34553.88,,107.3,371.23,15.12,7,10,1.0,,,64.14,-59,0,,needs training,0.0,624,1,0,0,0,0,1,0,0,0,0,1,0.7,"(0.6, 0.8]",48h+,Detractor (-100 to 0),18-24 months
92,Energy,Cloud,Latam,500,44401.65,64590.56,36,,693.47,1.14,8,20,2.0,6,0.0,,23,0,0.2,bad experince,0.0,,0,0,1,0,1,0,0,1,0,0,0,0.4,"(0.2, 0.4]",,Passive (1 to 50),
93,Saas,,Latam,1000,114971.19,166338.63,36,49.75,667.5,1.41,3,100,,4,1.0,,,0,0.05,,1.0,,0,0,1,0,1,0,1,0,0,1,0,0.03,"(0.0, 0.2]",,,
94,Finance,Data,Apac,5000,5605.08,9133.91,36,120.24,451.96,9.92,,,,5,0.0,38.58,-44,0,0.1,,0.0,152,0,1,0,0,0,0,1,0,0,0,0,,,24-48h,Detractor (-100 to 0),3-6 months
95,,Cloud,North America,10000,,167600.61,12,,616.26,3.75,3,,0.0,4,1.0,21.99,,1,0.1,renewal likely,0.0,4965,0,1,0,0,0,0,0,1,0,1,0,,,12-24h,,10+ years
96,Technology,Infra,Europe,,16441.89,128464.09,24,78.31,982.0,12.38,7,,0.0,3,0.0,88.44,13,1,,neutral,0.0,1153,1,1,0,0,0,0,0,0,0,0,0,,,48h+,Passive (1 to 50),3-5 years
97,,E-commerce,Latam,1000,414271.97,30279.76,36,192.44,323.28,24.88,7,10,4.0,0,1.0,,-22,,,renewal likely,0.0,3408,1,0,1,0,0,0,0,0,0,0,0,0.7,"(0.6, 0.8]",,Detractor (-100 to 0),5-10 years
98,Technology,Payments,Europe,,22781.5,99461.58,,127.76,484.6,48.34,7,,0.0,2,0.0,,-3,0,0.2,,0.0,404,0,1,1,0,0,0,0,0,0,0,1,,,,Detractor (-100 to 0),12-18 months
99,Healthcare,Cloud,Latam,,,115356.91,36,158.4,,3.87,5,50,,3,0.0,35.79,6,0,,renewal likely,0.0,1820,1,0,0,0,0,0,1,0,1,0,0,0.1,"(0.0, 0.2]",24-48h,Passive (1 to 50),3-5 years
100,Finance,,Europe,500,,55144.67,,172.61,800.77,0.27,6,20,,2,,44.83,-4,0,0.2,neutral,0.0,200,0,0,0,0,0,1,1,0,0,0,1,0.3,"(0.2, 0.4]",24-48h,Detractor (-100 to 0),6-12 months
101,Technology,Payments,North America,1000,,-28876.83,12,126.93,621.14,3.99,6,5,3.0,,,44.39,55,3,,satisfied,0.0,2351,1,0,0,0,0,1,0,0,0,0,0,1.2,,24-48h,Promoter (51 to 100),5-10 years
102,Finance,E-commerce,Apac,200,24214.39,22095.91,,140.96,645.96,28.88,4,20,0.0,,2.0,22.62,28,1,0.2,renewal likely,0.0,179,0,0,0,0,0,0,0,0,0,0,1,0.2,"(0.0, 0.2]",12-24h,Passive (1 to 50),3-6 months
103,Finance,E-commerce,Europe,,4094.42,100795.86,,25.88,,0.38,6,50,1.0,3,,,-59,3,,integration problem,0.0,635,1,0,1,0,0,1,0,0,1,0,1,0.12,"(0.0, 0.2]",,Detractor (-100 to 0),18-24 months
104,Healthcare,,,500,66154.25,86462.38,36,79.75,689.82,23.72,6,50,3.0,3,0.0,88.49,49,0,0.1,,0.0,,0,0,0,0,1,0,0,0,0,0,0,0.12,"(0.0, 0.2]",48h+,Passive (1 to 50),
105,Energy,Cloud,Europe,10000,106528.65,121881.41,36,198.94,795.18,,5,5,,2,1.0,48.8,-7,3,,executive sponsor left,0.0,160,1,0,0,0,0,0,1,0,0,0,0,1.0,"(0.8, 1.0]",48h+,Detractor (-100 to 0),3-6 months
106,Healthcare,E-commerce,,10000,4329.01,-23239.08,36,122.88,452.14,15.81,4,20,,2,0.0,72.2,83,0,0.15,,0.0,1653,0,0,0,0,0,0,1,0,0,0,0,0.2,"(0.0, 0.2]",48h+,Promoter (51 to 100),3-5 years
107,,AI,Apac,50,898106.8,131162.45,48,119.91,826.78,7.34,3,5,,,2.0,,-69,0,,,0.0,203,1,0,1,0,0,0,1,0,0,0,0,0.6,"(0.4, 0.6]",,Detractor (-100 to 0),6-12 months
108,Manufacturing,AI,North America,,86340.03,133606.13,36,67.21,659.96,2.38,6,,0.0,3,,,71,4,0.0,needs training,0.0,,0,1,1,0,1,1,0,0,0,0,0,,,,Promoter (51 to 100),
109,Healthcare,E-commerce,Latam,1000,15840.29,73065.72,24,154.47,513.06,22.78,10,10,,5,,73.39,-68,0,,pricing issue,0.0,517,1,0,0,0,0,1,1,0,0,0,0,1.0,"(0.8, 1.0]",48h+,Detractor (-100 to 0),12-18 months
110,,AI,Apac,200,306884.93,53626.71,24,114.89,392.93,6.67,2,20,2.0,8,,,41,2,,neutral,0.0,,1,0,1,0,1,1,0,0,0,0,0,0.1,"(0.0, 0.2]",,Passive (1 to 50),
