client_id,industry,region,sub_industry,revenue,tenure_months,employee_count,account_tier,monthly_logins_3m,monthly_logins_12m,downloads_3m,downloads_12m,inquiries_3m,inquiries_12m,webinar_attendance_12m,analyst_calls_12m,portal_time_spent_3m,portal_time_spent_12m,report_views_3m,report_views_12m,benchmarking_participation,active_users_count,feature_adoption_score,tickets_raised_12m,avg_ticket_resolution_time,ticket_satisfaction_score,escalations_12m,onboarding_score,renewal_meetings_attended,nps_score,satisfaction_score,relationship_strength,decision_maker_engagement,churn_flag
C11,Pharma,APAC,,602.5199023,129,1628,Gold,12,0,8,16,0,5,2,5,63.20917229,815.1178758,3,7,,36,23.01530106,5,51.52510998,,0,0.395789038,1,-59,3,2,2,0
C12,Technology,LATAM,SubIndustry_5,349.377684,146,26365,Gold,46,12,8,35,0,3,2,6,67.05141269,643.2095345,1,13,no,25,8.137191115,4,41.22685504,4,0,0.097392039,3,49,3,2,2,0
C13,BFSI,NA,,515.2204833,113,42025,Gold,0,21,1,29,1,6,4,4,107.5046969,699.6321048,,6,N,14,21.67457702,1,37.93774565,3,,0.157978203,5,-4,9,1,1,1
C14,BFSI,EMEA,SubIndustry_18,525.0265982,32,13054,Silver,2,29,28,40,,7,1,1,53.90773512,470.7567089,1,5,Y,,0.057092405,,49.90340578,4,0,0.567069449,5,,2,,1,0
C15,BFSI,NA,SubIndustry_15,316.1682683,96,23427,Bronze,10,33,37,31,1,2,2,3,225.0809431,439.1348819,5,8,yes,30,,2,29.50674768,2,0,0.412441657,3,93,5,5,1,0
C16,,NA,,279.0750052,11,27591,,25,24,,25,,4,5,4,48.61429147,101.7103465,0,,yes,,6.289541483,5,28.47454134,3,0,0.011730081,0,-72,8,5,,0
C17,Retail,NA,SubIndustry_28,363.8556782,148,,Gold,22,34,2,0,,3,3,7,161.9688998,585.5396781,1,8,,36,6.289633895,6,30.20915401,3,0,0.893526738,,-90,7,4,0,0
C18,,NA,SubIndustry_0,907.3164713,,17993,Gold,7,8,,8,2,4,2,3,189.3845117,631.6436976,1,8,no,32,48.18283107,4,38.31761817,2,0,0.873600406,20,60,3,5,0,0
C19,BFSI,NA,SubIndustry_9,417.4511812,102,42578,Gold,14,5,14,15,0,4,2,5,13.17044145,57.38276727,1,6,Y,14,18.38439339,3,50.32452857,3,0,0.884577091,2,42,10,1,1,0
,Manufacturing,NA,SubIndustry_1,,166,42996,Silver,13,17,11,20,3,2,2,3,118.03437,329.1018168,0,11,Y,14,8.444505757,1,62.90908562,2,1,0.06247348,1,-99,4,5,,0
C21,,NA,SubIndustry_18,406.2678981,6,7938,Gold,23,29,3,15,0,3,2,4,,388.8737204,1,7,no,30,16.97806667,,41.74564495,2,0,0.02584129,20,33,,1,2,0
C22,BFSI,LATAM,SubIndustry_13,,2,4625,Gold,,32,,21,0,4,2,2,74.37704003,570.8225485,0,9,N,41,33.99348151,4,47.43834045,5,0,0.266529573,5,-46,,,2,1
C23,Retail,NA,SubIndustry_2,680.4983311,73,3906,Gold,,38,14,28,2,5,3,2,93.04733638,907.8258412,2,6,no,37,75.99617977,1,,3,0,0.306358967,1,78,3,,1,0
C24,Retail,APAC,SubIndustry_22,690.5181016,,,,15,,,,1,,1,1,73.59698407,738.2843711,1,10,Y,46,76.61006701,2,54.24930934,3,0,0.741795891,0,-71,5,3,1,0
C25,Technology,NA,SubIndustry_28,577.5654684,66,4189,,15,49,22,7,0,5,1,2,197.7078958,821.085032,,9,no,7,7.933831016,3,58.5795728,1,0,0.741485289,2,34,7,3,,0
C26,BFSI,LATAM,SubIndustry_23,775.4733158,26,24266,Gold,30,31,21,16,2,1,1,0,144.199758,579.9637321,1,5,N,4,5.198106667,5,22.17603568,4,0,0.539855475,0,-47,4,1,1,1
C27,Retail,,SubIndustry_8,,176,36345,Gold,27,19,16,48,1,6,1,3,169.1074886,756.7191581,2,9,1,23,17.05400412,3,73.01528853,4,0,0.933059512,,-13,7,2,1,0
C28,Retail,EMEA,SubIndustry_22,,94,48688,Bronze,37,34,20,39,1,7,2,3,177.3370585,460.2740547,1,3,no,24,58.10930064,3,,3,0,0.125836515,4,15,9,5,2,0
C29,BFSI,EMEA,SubIndustry_7,176.0160394,102,13212,Silver,34,43,42,11,1,3,3,4,113.3735914,602.8283813,0,5,N,8,7.655676262,3,33.92049689,4,0,0.066721129,2,,2,5,1,0
C30,Manufacturing,NA,SubIndustry_10,569.6572495,136,5869,Bronze,16,1,9,31,1,1,1,2,16.13976289,949.7695732,2,1,no,9,56.62546738,4,55.21067578,,0,0.88050661,3,24,,5,2,0
C31,BFSI,LATAM,SubIndustry_14,556.6647185,75,36686,Silver,37,13,23,3,0,10,1,2,169.6858264,681.183385,4,4,Y,30,85.85498692,3,76.25012541,,0,0.834509393,3,-82,6,,,0
C32,BFSI,APAC,SubIndustry_5,312.6960308,89,29757,Silver,13,4,16,1,1,1,3,3,14.9229559,326.309304,1,6,0,15,35.0108101,,86.7773758,1,1,0.302147156,4,34,4,5,0,0
C33,Pharma,APAC,SubIndustry_1,615.9168444,116,15280,,,,7,9,,3,2,4,,413.8224872,,3,no,3,73.91731556,2,42.75172196,4,0,0.447576363,10,,1,2,2,0
C34,Pharma,EMEA,SubIndustry_0,201.9834649,30,40122,,19,11,28,19,0,1,1,11,53.85286728,276.6887617,0,9,0,,64.81465865,,20.91207336,2,,0.190972128,10,-80,9,2,2,1
C35,Technology,NA,SubIndustry_2,369.1631348,155,45579,Silver,25,27,12,20,1,4,,2,,883.4121352,,6,no,24,29.42141426,6,45.74698747,3,0,0.106893135,3,55,7,,1,0
C36,BFSI,APAC,SubIndustry_24,100.1824374,43,28270,Gold,,39,0,43,,3,2,5,102.3864584,625.9475882,2,7,yes,43,57.79442593,4,,3,0,0.831323708,,-53,4,2,1,0
,BFSI,NA,SubIndustry_28,811.7253034,133,26786,Silver,26,38,5,1,1,5,3,9,170.4501632,761.9322818,,6,,10,98.45713503,,27.76791458,3,,0.351808763,10,52,9,,1,0
C38,Manufacturing,EMEA,,,,46945,,8,33,27,,0,5,5,1,160.9154015,,3,5,N,42,95.76242507,1,49.55854815,5,0,0.723032024,3,-14,5,,1,0
C39,,NA,SubIndustry_17,933.376807,52,22173,,29,24,23,46,0,5,4,4,181.3780859,706.8668335,0,6,1,13,56.32487605,0,72.82363345,2,2,0.307382721,10,-13,4,1,0,0
C40,BFSI,LATAM,SubIndustry_13,660.5899853,21,9743,Bronze,,6,2,42,0,3,1,1,127.5311663,615.0111877,2,11,Y,27,86.18351835,3,63.15349439,2,0,,4,31,2,2,0,0
C41,Retail,,SubIndustry_16,589.6196427,131,33632,Gold,8,,,,1,,4,2,,916.8598276,2,8,N,,14.86511344,3,58.11620762,1,0,,3,-64,6,5,,1
C42,BFSI,NA,SubIndustry_1,382.7544611,41,7634,Silver,33,39,13,12,1,3,,2,126.0407341,938.9678451,1,6,0,15,77.36577654,3,41.05031786,,1,0.651764413,4,-95,6,4,0,1
,Pharma,EMEA,SubIndustry_18,290.7299929,124,,,25,28,41,34,1,3,4,2,75.1345216,642.9515289,2,10,no,33,3.718312601,,37.53458753,4,0,0.350966941,0,-58,6,5,2,1
C44,BFSI,APAC,SubIndustry_29,,108,14705,Gold,30,52,42,41,1,3,4,5,,528.1628689,0,9,yes,38,11.11621189,4,52.99621695,4,0,0.067577156,3,-18,7,2,2,0
C45,Manufacturing,EMEA,SubIndustry_21,485.6971981,152,11567,Bronze,8,2,17,24,1,3,1,,163.5848848,574.1722798,,8,no,26,45.02640213,3,33.72092311,5,,0.15093427,0,-89,9,5,2,1
C46,,NA,SubIndustry_27,232.1459369,52,1373,Gold,22,7,31,17,1,2,5,2,145.7671118,312.4639297,0,8,yes,27,97.44437248,1,,,0,0.166616938,3,-8,9,1,1,0
C47,Retail,NA,SubIndustry_8,196.6283167,2,24630,Gold,20,29,32,0,0,6,0,2,198.4173193,526.2289593,4,,0,6,34.09031989,3,,4,0,,4,95,1,4,1,0
C48,Retail,APAC,SubIndustry_7,308.2592542,44,49039,Gold,,3,5,53,1,6,4,4,63.73505701,281.6075248,1,5,N,38,77.03521938,1,28.83304276,5,0,0.631901514,0,-18,3,4,2,0
,BFSI,LATAM,SubIndustry_9,864.1934451,41,28143,Silver,,19,22,3,3,8,0,5,101.6307314,780.7458631,1,8,1,26,69.69152301,3,53.79408404,2,0,0.464331232,5,25,3,5,2,0
C50,Pharma,APAC,,942.6555836,70,9500,Gold,28,3,22,40,0,3,2,4,116.6820513,450.8275241,2,9,no,33,2.694520418,1,73.17923164,4,0,0.522624624,10,1,1,2,2,0
C51,Technology,EMEA,SubIndustry_26,540.9978295,7,2084,Bronze,41,30,,8,,4,2,,124.3613295,728.4329245,2,4,0,28,,5,34.08895251,,0,0.803320672,1,44,2,5,2,0
C52,,LATAM,SubIndustry_26,529.7885592,38,23024,Bronze,35,16,2,35,0,6,1,4,24.37229031,735.9398765,1,3,,49,37.48122819,2,44.0167959,2,0,0.595236295,0,,9,3,2,0
C53,Technology,EMEA,SubIndustry_7,432.7359256,,6016,,33,13,31,7,0,8,4,2,56.86302908,399.3639926,3,4,N,49,71.17414713,1,52.24942782,1,0,0.830291424,0,51,7,1,0,0
C54,Retail,EMEA,SubIndustry_6,313.1029303,9,30767,Silver,39,30,11,21,0,5,2,4,116.4448534,,1,6,1,9,5.871149357,1,57.04531477,2,0,0.604445684,20,-46,10,5,1,0
,Pharma,EMEA,SubIndustry_21,775.0358115,53,49401,Silver,23,13,6,28,,1,1,1,112.8698262,524.1745778,2,6,0,42,0.237489955,0,46.77120447,4,0,0.301040781,0,57,5,3,2,0
C56,BFSI,EMEA,SubIndustry_23,874.7152788,,1755,Silver,6,35,34,,1,,0,1,129.8813636,652.5519757,3,9,no,22,25.00956778,0,37.01580596,3,0,0.042444623,4,-88,8,3,2,1
C57,,APAC,SubIndustry_5,321.3161828,128,28567,,22,9,11,2,1,6,3,6,38.16934528,715.8180537,1,,1,26,88.58504414,,45.06935101,3,1,0.042843229,20,-29,5,5,,0
C58,BFSI,EMEA,SubIndustry_1,483.4323243,19,3808,Gold,,7,15,,1,3,1,5,121.9831804,697.4096386,,5,yes,13,90.2755596,4,19.2590805,3,0,0.83395011,5,-3,8,3,0,0
C59,BFSI,NA,SubIndustry_28,410.0267399,132,19277,Bronze,32,22,26,,0,4,2,1,136.9577688,,0,4,0,16,48.74414495,4,,4,0,0.548659769,10,71,9,1,0,0
C60,Retail,NA,SubIndustry_8,415.952185,13,,Gold,,25,23,29,1,3,,3,123.2762822,775.6853358,6,6,N,,,4,70.0284119,4,0,0.309036728,0,66,,2,0,0
C61,BFSI,NA,SubIndustry_8,737.1816511,11,32077,Gold,17,18,0,36,,5,2,1,75.4529716,595.1995705,2,4,no,6,68.16485996,2,49.66510561,3,,0.318860899,2,69,8,5,1,0
,,EMEA,SubIndustry_18,237.6076909,2,2183,,38,12,2,7,4,,1,4,45.62283092,605.6942249,0,6,0,47,76.10770668,6,30.71967954,1,0,0.116892379,,62,3,5,2,0
C63,Retail,NA,,593.2939382,140,,Bronze,24,4,25,15,1,5,0,5,,584.47129,1,7,0,48,50.33353047,3,44.9919526,,0,0.049802401,2,-74,,1,0,1
C64,BFSI,NA,SubIndustry_1,645.6476215,126,2628,Gold,16,22,21,12,0,8,3,0,201.3437886,1127.754527,1,6,N,19,6.714312058,2,43.53301116,,0,0.143139388,5,88,6,3,0,1
C65,Retail,EMEA,SubIndustry_27,471.5697653,,46757,Silver,6,22,16,13,2,2,1,5,101.9945706,503.2236336,1,6,Y,20,54.71152501,2,75.31061955,5,0,0.950222371,4,,3,1,2,0
C66,BFSI,EMEA,SubIndustry_29,678.6135654,56,33631,Gold,26,16,1,35,0,1,0,5,184.5274667,582.6953513,0,5,0,47,68.79892671,2,60.92156363,4,0,0.815900573,3,-73,4,,2,1
C67,Technology,APAC,SubIndustry_18,529.5303681,,6601,Silver,2,45,20,26,0,4,3,,114.7472759,787.8792657,1,4,Y,,30.64587139,3,22.31864657,3,0,0.981980111,,90,9,,0,0
C68,BFSI,EMEA,SubIndustry_15,,52,34445,Gold,4,,23,,0,4,2,4,85.04062999,435.7287205,3,9,N,16,44.98731875,3,52.00430155,5,0,0.274558089,0,-98,10,5,0,1
,Pharma,APAC,SubIndustry_29,195.558939,,36410,Silver,26,,21,24,0,3,4,3,173.9864914,437.8022056,2,4,Y,22,,6,23.13876924,,0,0.889255709,10,-51,5,5,2,0
C70,Technology,LATAM,SubIndustry_21,430.2449478,132,,Gold,27,15,13,3,,3,1,3,217.5993858,610.2899707,0,8,no,5,89.16685775,3,52.01194971,3,0,0.09257967,,,6,2,0,0
C71,BFSI,APAC,SubIndustry_13,485.6373714,105,3982,Silver,,36,21,8,0,3,4,6,224.8580429,288.7404867,1,,Y,,94.7396524,5,42.30575062,3,0,0.025564596,1,-82,2,2,0,0
C72,BFSI,EMEA,SubIndustry_19,34.44147689,132,8537,,14,25,,42,0,5,1,3,173.2504166,330.1042543,,7,1,13,13.70510531,3,62.54591,4,0,0.893582245,,32,,4,1,0
C73,,,SubIndustry_23,,177,7163,,19,,,20,1,2,0,2,33.65543549,585.65676,2,7,yes,19,89.5088361,2,42.51227975,3,0,0.63922934,3,-76,7,4,1,0
C74,,LATAM,SubIndustry_0,337.2801491,52,,Gold,32,,34,18,1,7,2,3,37.76755685,388.6379449,1,7,0,44,29.14660358,,47.56937665,2,2,,,,4,5,0,0
C75,Manufacturing,NA,SubIndustry_12,689.641199,34,49077,Silver,,24,25,28,1,2,3,2,127.7443716,910.9584911,0,11,yes,10,66.17907811,,,5,0,0.722472857,2,-31,4,2,1,0
C76,Technology,NA,SubIndustry_21,358.6313307,22,17588,Gold,31,7,33,28,1,5,3,1,151.7085592,527.1356558,2,5,,6,1.981223453,4,9.631752592,,1,,0,,10,2,0,0
C77,BFSI,EMEA,SubIndustry_1,336.3842025,141,28606,Gold,7,3,22,25,1,6,1,3,202.9931215,542.367537,,,N,32,61.73820658,2,56.17768245,4,1,0.613920954,10,25,2,1,,0
C78,Retail,NA,SubIndustry_21,663.4971561,63,49734,Gold,1,13,28,33,,4,1,5,150.7047863,386.3787007,,4,yes,35,54.30873029,5,59.0573944,,,,4,-54,8,,0,1
C79,BFSI,LATAM,SubIndustry_13,,15,37945,Gold,36,38,38,12,,2,1,4,82.91147926,257.5434832,2,6,Y,3,26.09652353,7,56.5326714,,0,0.881472538,20,,,3,2,0
C80,Technology,EMEA,SubIndustry_0,85.75118651,168,937,Gold,,39,,24,1,5,5,6,126.1197949,286.4871598,0,3,N,12,,3,,3,1,0.757665981,2,41,4,3,2,0
C81,Manufacturing,EMEA,SubIndustry_14,427.68154,38,19706,Silver,37,38,48,35,4,2,6,3,185.8148383,437.945287,0,5,1,8,87.33913049,2,71.55153041,2,0,0.380901514,10,,7,2,2,0
,BFSI,EMEA,SubIndustry_17,210.4586464,105,18866,Silver,,17,16,25,,3,0,,108.4763111,456.6491216,1,7,N,3,59.95053963,4,73.74959261,3,,0.608988547,2,-82,9,5,0,1
C83,BFSI,EMEA,SubIndustry_8,218.0641411,55,36415,Gold,21,35,34,,1,7,1,2,57.1267963,581.088041,3,6,,3,99.33263476,3,59.00204709,,0,0.136276287,10,,6,3,2,0
C84,BFSI,NA,SubIndustry_21,614.6867583,172,24445,Silver,28,,27,23,1,,2,5,146.2207714,726.5402343,2,7,N,20,13.7596749,1,47.170861,1,,0.262973853,20,85,10,4,0,0
C85,BFSI,EMEA,SubIndustry_7,675.1947676,117,,,27,7,26,27,2,1,2,4,,686.6569786,2,5,N,25,23.16993414,1,45.96895937,4,0,,10,-51,9,4,0,1
C86,Manufacturing,APAC,,657.7728432,120,5575,Bronze,46,13,38,16,3,3,,4,157.1297496,496.9878212,0,5,N,15,61.55508232,,52.82438176,,0,0.530688129,1,,3,2,2,0
C87,Manufacturing,EMEA,SubIndustry_8,721.7553321,66,43430,Gold,9,47,22,34,1,1,2,5,,631.8413616,3,15,0,28,60.2862193,7,52.45938459,4,0,0.256839053,3,-7,,,0,0
C88,Technology,APAC,SubIndustry_8,748.226864,66,30768,Gold,11,1,36,7,2,6,4,2,109.3088914,649.1324223,3,7,0,18,54.18814972,1,67.27543197,,0,0.61033522,4,7,8,,2,0
C89,Retail,NA,SubIndustry_10,74.28195823,171,21052,Gold,6,35,24,17,0,,2,0,114.8561564,751.7800073,2,9,Y,6,,2,66.70489632,4,0,0.507435804,4,62,2,4,0,0
C90,BFSI,,SubIndustry_3,590.082392,72,25460,Gold,40,4,6,37,1,7,3,2,8.254772982,549.0903658,2,7,N,36,37.67727408,3,48.60207174,5,0,0.066555151,5,-34,4,5,,1
C91,Manufacturing,NA,,394.0783601,166,3530,Gold,20,22,3,12,1,2,,6,169.3533955,563.2200989,,10,Y,42,41.88724734,2,77.05325321,5,0,0.549651095,3,,3,4,2,0
C92,Technology,NA,SubIndustry_20,350.5151508,157,21040,Gold,9,,27,13,0,4,3,2,100.3227282,259.6776347,2,12,N,32,17.93535424,6,44.1102519,3,0,0.235398357,0,55,8,2,2,0
C93,Retail,APAC,SubIndustry_6,612.0829264,75,31627,Bronze,8,27,8,5,2,3,2,1,,632.0084374,4,7,N,45,4.847479933,3,12.67183721,4,0,,1,-13,2,2,,0
C94,Technology,APAC,SubIndustry_3,153.940904,134,48116,Silver,7,19,27,11,,3,2,3,,502.6300328,1,11,no,4,33.25656674,4,76.71036519,3,0,0.159337017,1,44,7,2,2,0
C95,Retail,NA,SubIndustry_11,149.7782788,9,41221,Silver,23,,6,14,2,7,0,,158.1035363,746.6103314,2,6,no,44,7.558110782,3,72.64092658,2,0,0.572101553,2,-94,6,1,0,1
C96,Retail,EMEA,SubIndustry_25,626.7145488,,19106,Gold,6,,37,19,0,3,2,3,121.8540214,659.1896467,2,7,Y,24,90.10429781,1,10.75987393,2,0,0.164753305,4,3,7,1,2,0
C97,Retail,APAC,SubIndustry_26,597.5572035,174,4082,Gold,6,,42,26,,2,,4,128.5839088,415.3266474,0,5,1,21,79.34535226,4,,5,0,0.033765973,10,6,5,5,0,0
C98,BFSI,NA,,527.3465312,89,44092,Gold,20,37,30,39,1,4,2,4,278.3649298,,1,8,0,9,13.57667313,4,41.7860411,,1,,2,,1,2,0,0
C99,BFSI,,SubIndustry_16,324.0173191,31,45441,Gold,,35,17,21,1,0,2,2,175.5775818,1098.399967,,6,N,42,3.30029438,,52.07455068,2,0,0.593292079,10,58,8,4,0,0
C100,BFSI,LATAM,SubIndustry_19,648.7659269,21,46469,Gold,2,33,18,30,0,2,,2,38.50358004,,1,8,Y,2,7.990165487,2,43.47570784,3,0,0.522099445,0,-48,3,3,1,1
C101,,EMEA,,636.0605784,38,22427,Silver,7,24,,16,0,8,3,2,29.82498431,,0,15,Y,28,55.95806315,2,37.95983113,3,0,0.711091662,5,64,3,4,0,0
C102,BFSI,,SubIndustry_25,517.060903,,26327,Silver,,9,,20,2,3,3,2,153.0710036,415.1789361,2,4,yes,37,6.128172626,3,38.10856583,3,0,0.4293127,4,,10,4,0,0
C103,Retail,NA,,264.5357917,147,7475,Gold,25,27,23,12,,7,0,3,133.939718,923.7662995,2,,0,25,85.35811803,4,46.43913209,3,0,0.597033197,1,-39,6,4,1,1
C104,Pharma,APAC,SubIndustry_8,414.9503309,138,,,28,,33,15,1,1,3,2,196.0524461,630.8955416,1,5,Y,42,49.30423693,2,56.14169058,3,0,0.185648435,2,-89,3,1,0,0
C105,BFSI,NA,SubIndustry_4,667.5667355,174,12942,Gold,18,,8,19,2,4,2,,157.8994562,994.7682153,0,5,,23,95.58153473,2,96.5063328,,0,0.262429037,2,-66,4,3,2,0
C106,Retail,NA,SubIndustry_19,765.4382446,76,20280,Gold,39,44,20,17,1,10,3,3,89.86163796,411.9252529,,5,yes,45,7.990023531,4,56.25601889,,0,,2,20,5,4,0,0
C107,Technology,EMEA,SubIndustry_15,434.6926793,83,20450,Silver,12,4,43,15,0,4,,2,142.08937,336.0033186,1,8,,4,,,45.88551378,4,0,0.846789413,5,-8,2,2,,0
C108,BFSI,NA,SubIndustry_7,450.0654064,79,16729,Gold,4,14,47,0,0,7,,,121.2355563,805.7273093,4,5,,44,82.15474728,2,34.83335991,1,0,0.750346957,10,29,4,4,1,0
C109,BFSI,NA,SubIndustry_20,467.6621784,38,40542,,7,6,3,25,1,2,1,4,41.97204542,584.1245064,,8,N,,87.58143104,,62.78725274,1,0,0.491493338,3,-33,10,2,2,1
C110,BFSI,NA,SubIndustry_15,554.9786018,62,16359,Gold,29,7,20,15,1,,0,0,16.94924717,,2,6,,,42.90215255,1,30.56226619,2,0,0.241490788,2,-9,2,4,,0
,BFSI,NA,SubIndustry_18,,72,4533,Gold,18,4,36,16,2,1,1,4,146.5383448,590.3109071,2,5,1,17,52.23580631,,27.390199,4,0,,3,86,2,2,1,0
C112,Pharma,,SubIndustry_15,78.83701151,174,31900,Gold,1,13,38,,0,4,2,2,107.8725675,,,3,no,31,68.1059352,,41.25789062,5,0,,,,9,5,2,1
C113,Technology,EMEA,SubIndustry_17,738.5538003,163,14163,Gold,23,23,,31,0,3,5,2,141.4339176,550.7044478,1,7,N,15,64.74759781,1,36.10457995,4,0,0.46671475,4,-95,5,2,2,1
C114,Manufacturing,NA,SubIndustry_14,858.9377894,102,34314,Silver,33,24,20,6,1,6,,7,62.29602186,780.1552538,3,9,N,48,77.24434567,,,2,0,0.522569289,10,-61,1,,2,1
C115,Technology,NA,SubIndustry_23,377.5200281,171,44089,Bronze,,32,12,16,0,6,2,3,102.4562506,370.7525438,0,11,no,2,95.39589693,3,55.24811977,1,1,0.82023083,4,49,9,1,0,0
C116,,NA,SubIndustry_27,286.6693262,128,,Gold,10,13,2,22,0,0,2,2,104.4624975,694.6566747,3,,N,34,6.566897507,,67.15184577,3,0,0.860704717,0,-25,6,2,0,1
C117,BFSI,EMEA,SubIndustry_17,472.5798955,158,22467,Silver,3,18,16,27,,2,4,3,92.94213204,582.9388797,,5,1,35,49.7411728,1,52.19489439,4,0,0.324957,1,26,5,2,1,0
C118,,NA,SubIndustry_13,462.4992233,73,31961,Gold,23,36,27,42,0,4,2,4,212.06118,318.5753424,2,,no,37,17.7412152,3,53.56567336,5,0,0.445177034,1,47,2,,0,0
C119,Retail,,SubIndustry_23,699.1037154,63,21884,Bronze,,33,2,33,2,4,3,3,172.901522,344.2704613,2,6,no,36,21.99464649,,44.4690477,3,1,0.363276264,3,91,4,5,2,0
C120,Technology,NA,SubIndustry_15,510.9278883,158,2025,Bronze,56,10,61,4,1,4,3,0,,751.2962849,2,4,yes,9,28.94821643,2,41.28248863,3,2,,5,99,,1,1,0
C121,Technology,NA,SubIndustry_4,341.4754339,113,,Gold,5,32,20,12,1,2,0,5,35.47803599,598.7100491,1,4,N,35,35.8803856,,,,,0.267631721,2,75,3,3,1,0
,BFSI,APAC,SubIndustry_7,236.3181099,83,,Bronze,25,23,45,22,0,8,4,5,90.87527028,688.5531658,0,5,no,,61.27406516,,74.68616762,,0,0.311657601,20,15,4,1,2,0
C123,BFSI,APAC,SubIndustry_15,673.126837,157,4328,Silver,11,,29,,,4,2,1,189.5294614,605.1373658,0,3,N,24,33.7793683,4,65.19851272,1,0,0.625199605,3,-40,5,3,2,1
C124,BFSI,NA,SubIndustry_20,,22,47445,Bronze,9,,38,12,2,4,1,2,115.2316773,,3,7,yes,12,44.32219528,3,64.0476991,3,0,0.160926463,5,-57,9,4,,0
C125,Retail,APAC,SubIndustry_0,712.1119756,163,7975,Silver,3,4,,,0,3,4,1,91.56110764,627.5555474,0,5,N,16,25.50819108,1,70.56381423,2,0,0.823172648,5,-11,9,1,0,1
C126,Technology,EMEA,,306.3626499,170,13883,Gold,35,10,31,11,0,3,3,4,121.3061704,467.5838794,1,9,1,4,12.49050704,1,67.80001392,1,0,0.007702527,3,-75,7,3,1,0
C127,Technology,APAC,SubIndustry_28,,152,4215,Silver,35,26,10,36,0,3,1,1,193.7495648,,1,6,N,3,5.298800835,3,64.11457514,2,1,0.727549901,3,-2,7,5,2,0
C128,BFSI,EMEA,SubIndustry_10,151.2610986,,16897,Silver,,19,21,5,1,2,1,0,175.0216009,540.4131343,,4,no,26,,1,45.32958818,1,0,,5,34,10,3,1,1
C129,Retail,,SubIndustry_29,641.9202043,159,32522,Gold,13,19,,9,2,4,2,1,241.6477965,783.5258793,0,6,yes,35,11.64025308,4,15.45868278,,0,0.64268361,3,-65,6,2,2,0
,Retail,LATAM,SubIndustry_10,118.0834466,87,45296,Silver,,35,22,46,2,,0,2,99.40542712,641.8574826,1,,1,16,40.44772906,4,49.72433465,3,1,,20,-5,8,2,2,0
C131,BFSI,NA,SubIndustry_1,341.9337237,130,33747,,38,,14,44,,1,4,3,120.7018436,654.9246827,4,7,0,29,41.69361888,4,64.98243185,4,2,0.828830488,4,77,9,,0,0
,BFSI,,SubIndustry_29,812.2045861,167,40491,Bronze,14,37,21,47,0,4,4,3,40.48293368,299.1222187,3,12,yes,46,61.3784151,2,31.66326924,3,,0.693971813,1,-43,4,4,,0
